#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
helium                                            ([no block])                                                                     = Helium Gas
plasma.helium                                     ([no block])                                                                     = Helium Plasma
helium_3                                          ([no block])                                                                     = Helium-3
indium                                            ([no block])                                                                     = Liquid Indium
plasma.iron                                       ([no block])                                                                     = Iron Plasma
krypton                                           ([no block])                                                                     = Krypton
lanthanum                                         ([no block])                                                                     = Liquid Lanthanum
lithium                                           ([no block])                                                                     = Liquid Lithium
lutetium                                          ([no block])                                                                     = Liquid Lutetium
magnesium                                         (tconstruct:molten_magnesium)                                                    = Liquid Magnesium
manganese                                         ([no block])                                                                     = Liquid Manganese
mercury                                           ([no block])                                                                     = Mercury
molybdenum                                        ([no block])                                                                     = Liquid Molybdenum
neodymium                                         ([no block])                                                                     = Liquid Neodymium
neon                                              ([no block])                                                                     = Neon Gas
plasma.nickel                                     ([no block])                                                                     = Nickel Plasma
niobium                                           ([no block])                                                                     = Liquid Niobium
nitrogen                                          (advancedrocketry:nitrogenfluid)                                                 = Nitrogen Gas
plasma.nitrogen                                   ([no block])                                                                     = Nitrogen Plasma
osmium                                            ([no block])                                                                     = Liquid Osmium
liquid_oxygen                                     ([no block])                                                                     = Liquid Oxygen
plasma.oxygen                                     ([no block])                                                                     = Oxygen Plasma
palladium                                         ([no block])                                                                     = Liquid Palladium
plutonium                                         ([no block])                                                                     = Liquid Plutonium 239
plutonium_241                                     ([no block])                                                                     = Liquid Plutonium 241
potassium                                         ([no block])                                                                     = Liquid Potassium
radon                                             ([no block])                                                                     = Radon Gas
rhodium                                           ([no block])                                                                     = Liquid Rhodium
ruthenium                                         ([no block])                                                                     = Liquid Ruthenium
samarium                                          ([no block])                                                                     = Liquid Samarium
silicon                                           ([no block])                                                                     = Liquid Silicon
tantalum                                          ([no block])                                                                     = Liquid Tantalum
thorium                                           (tconstruct:molten_thorium)                                                      = Liquid Thorium
plasma.tin                                        ([no block])                                                                     = Tin Plasma
titanium                                          (tconstruct:molten_titanium)                                                     = Liquid Titanium
tritium                                           ([no block])                                                                     = Tritium Gas
tungsten                                          (tconstruct:molten_tungsten)                                                     = Liquid Tungsten
uranium_235                                       ([no block])                                                                     = Liquid Uranium 235
vanadium                                          ([no block])                                                                     = Liquid Vanadium
xenon                                             ([no block])                                                                     = Xenon Gas
yttrium                                           ([no block])                                                                     = Liquid Yttrium
naquadah                                          ([no block])                                                                     = Liquid Naquadah
naquadah_enriched                                 ([no block])                                                                     = Liquid Enriched Naquadah
naquadria                                         ([no block])                                                                     = Liquid Naquadria
neutronium                                        ([no block])                                                                     = Liquid Neutronium
tritanium                                         ([no block])                                                                     = Liquid Tritanium
duranium                                          ([no block])                                                                     = Liquid Duranium
trinium                                           ([no block])                                                                     = Liquid Trinium
annealed_copper                                   ([no block])                                                                     = Liquid Annealed Copper
battery_alloy                                     ([no block])                                                                     = Liquid Battery Alloy
cupronickel                                       ([no block])                                                                     = Liquid Cupronickel
kanthal                                           ([no block])                                                                     = Liquid Kanthal
molten.kanthal                                    ([no block])                                                                     = Molten Kanthal
magnalium                                         ([no block])                                                                     = Liquid Magnalium
nichrome                                          ([no block])                                                                     = Liquid Nichrome
molten.nichrome                                   ([no block])                                                                     = Molten Nichrome
niobium_nitride                                   ([no block])                                                                     = Liquid Niobium Nitride
molten.niobium_nitride                            ([no block])                                                                     = Molten Niobium Nitride
niobium_titanium                                  ([no block])                                                                     = Liquid Niobium-Titanium
molten.niobium_titanium                           ([no block])                                                                     = Molten Niobium-Titanium
sterling_silver                                   ([no block])                                                                     = Liquid Sterling Silver
rose_gold                                         ([no block])                                                                     = Liquid Rose Gold
black_bronze                                      ([no block])                                                                     = Liquid Black Bronze
molten.black_bronze                               ([no block])                                                                     = Molten Black Bronze
bismuth_bronze                                    ([no block])                                                                     = Liquid Bismuth Bronze
ruridit                                           ([no block])                                                                     = Liquid Ruridit
molten.ruridit                                    ([no block])                                                                     = Molten Ruridit
soldering_alloy                                   ([no block])                                                                     = Liquid Soldering Alloy
stainless_steel                                   ([no block])                                                                     = Liquid Stainless Steel
tin_alloy                                         ([no block])                                                                     = Liquid Tin Alloy
ultimet                                           ([no block])                                                                     = Liquid Ultimet
molten.ultimet                                    ([no block])                                                                     = Molten Ultimet
vanadium_gallium                                  ([no block])                                                                     = Liquid Vanadium-Gallium
molten.vanadium_gallium                           ([no block])                                                                     = Molten Vanadium-Gallium
wrought_iron                                      ([no block])                                                                     = Liquid Wrought Iron
yttrium_barium_cuprate                            ([no block])                                                                     = Liquid Yttrium Barium Cuprate
molten.yttrium_barium_cuprate                     ([no block])                                                                     = Molten Yttrium Barium Cuprate
osmiridium                                        ([no block])                                                                     = Liquid Osmiridium
molten.osmiridium                                 ([no block])                                                                     = Molten Osmiridium
gallium_arsenide                                  ([no block])                                                                     = Liquid Gallium Arsenide
indium_gallium_phosphide                          ([no block])                                                                     = Liquid Indium Gallium Phosphide
nickel_zinc_ferrite                               ([no block])                                                                     = Liquid Nickel Zinc Ferrite
sodium_persulfate                                 ([no block])                                                                     = Sodium Persulfate
tungsten_carbide                                  ([no block])                                                                     = Liquid Tungstencarbide
molten.tungsten_carbide                           ([no block])                                                                     = Molten Tungstencarbide
titanium_tetrachloride                            ([no block])                                                                     = Titanium Tetrachloride
nitrogen_dioxide                                  ([no block])                                                                     = Nitrogen Dioxide
hydrogen_sulfide                                  ([no block])                                                                     = Hydrogen Sulfide
phosphoric_acid                                   ([no block])                                                                     = Phosphoric Acid
sulfur_trioxide                                   ([no block])                                                                     = Sulfur Trioxide
sulfur_dioxide                                    ([no block])                                                                     = Sulfur Dioxide
hypochlorous_acid                                 ([no block])                                                                     = Hypochlorous Acid
nitric_oxide                                      ([no block])                                                                     = Nitric Oxide
iron_iii_chloride                                 ([no block])                                                                     = Iron III Chloride
uranium_hexafluoride                              ([no block])                                                                     = Uranium Hexafluoride
enriched_uranium_hexafluoride                     ([no block])                                                                     = Enriched Uranium Hexafluoride
depleted_uranium_hexafluoride                     ([no block])                                                                     = Depleted Uranium Hexafluoride
nitrous_oxide                                     ([no block])                                                                     = Nitrous Oxide
hydrochloric_acid                                 ([no block])                                                                     = Hydrochloric Acid
distilled_water                                   ([no block])                                                                     = Distilled Water
sodium_potassium                                  ([no block])                                                                     = Sodium Potassium
manganese_phosphide                               ([no block])                                                                     = Liquid Manganese Phosphide
magnesium_diboride                                ([no block])                                                                     = Liquid Magnesium Diboride
molten.magnesium_diboride                         ([no block])                                                                     = Molten Magnesium Diboride
mercury_barium_calcium_cuprate                    ([no block])                                                                     = Liquid Mercury Barium Calcium Cuprate
molten.mercury_barium_calcium_cuprate             ([no block])                                                                     = Molten Mercury Barium Calcium Cuprate
uranium_triplatinum                               ([no block])                                                                     = Liquid Uranium Triplatinum
molten.uranium_triplatinum                        ([no block])                                                                     = Molten Uranium Triplatinum
samarium_iron_arsenic_oxide                       ([no block])                                                                     = Liquid Samarium Iron Arsenic Oxide
molten.samarium_iron_arsenic_oxide                ([no block])                                                                     = Molten Samarium Iron Arsenic Oxide
indium_tin_barium_titanium_cuprate                ([no block])                                                                     = Liquid Indium Tin Barium Titanium Cuprate
molten.indium_tin_barium_titanium_cuprate         ([no block])                                                                     = Molten Indium Tin Barium Titanium Cuprate
uranium_rhodium_dinaquadide                       ([no block])                                                                     = Liquid Uranium Rhodium Dinaquadide
molten.uranium_rhodium_dinaquadide                ([no block])                                                                     = Molten Uranium Rhodium Dinaquadide
enriched_naquadah_trinium_europium_duranide       ([no block])                                                                     = Liquid Enriched Naquadah Trinium Europium Duranide
molten.enriched_naquadah_trinium_europium_duranide([no block])                                                                     = Molten Enriched Naquadah Trinium Europium Duranide
ruthenium_trinium_americium_neutronate            ([no block])                                                                     = Liquid Ruthenium Trinium Americium Neutronate
molten.ruthenium_trinium_americium_neutronate     ([no block])                                                                     = Molten Ruthenium Trinium Americium Neutronate
rhodium_sulfate                                   ([no block])                                                                     = Rhodium Sulfate
fluoroantimonic_acid                              ([no block])                                                                     = Fluoroantimonic Acid
rtm_alloy                                         ([no block])                                                                     = Liquid RTM Alloy
molten.rtm_alloy                                  ([no block])                                                                     = Molten RTM Alloy
silicone_rubber                                   ([no block])                                                                     = Liquid Silicone Rubber
nitrobenzene                                      ([no block])                                                                     = Nitrobenzene
styrene_butadiene_rubber                          ([no block])                                                                     = Liquid Styrene-Butadiene Rubber
polyvinyl_acetate                                 ([no block])                                                                     = Polyvinyl Acetate
reinforced_epoxy_resin                            ([no block])                                                                     = Liquid Fiber-Reinforced Epoxy Resin
polyvinyl_chloride                                ([no block])                                                                     = Liquid Polyvinyl Chloride (PVC)
polyphenylene_sulfide                             ([no block])                                                                     = Liquid Polyphenylene Sulfide
glyceryl_trinitrate                               ([no block])                                                                     = Glyceryl Trinitrate
polybenzimidazole                                 ([no block])                                                                     = Liquid Polybenzimidazole (PBI)
plastic                                           ([no block])                                                                     = Liquid Polyethylene (PE)
epoxy                                             ([no block])                                                                     = Liquid Epoxy Resin
polycaprolactam                                   ([no block])                                                                     = Liquid Polycaprolactam
polytetrafluoroethylene                           ([no block])                                                                     = Liquid Polytetrafluoroethylene (PTFE)
methane                                           ([no block])                                                                     = Methane Gas
epichlorohydrin                                   ([no block])                                                                     = Epichlorohydrin
monochloramine                                    ([no block])                                                                     = Monochloramine
chloroform                                        ([no block])                                                                     = Chloroform
cumene                                            ([no block])                                                                     = Cumene
tetrafluoroethylene                               ([no block])                                                                     = Tetrafluoroethylene
chloromethane                                     ([no block])                                                                     = Chloromethane
allyl_chloride                                    ([no block])                                                                     = Allyl Chloride
isoprene                                          ([no block])                                                                     = Isoprene
propane                                           ([no block])                                                                     = Propane
propene                                           ([no block])                                                                     = Propene
ethane                                            ([no block])                                                                     = Ethane
butene                                            ([no block])                                                                     = Butene
butane                                            ([no block])                                                                     = Butane
dissolved_calcium_acetate                         ([no block])                                                                     = Dissolved Calcium Acetate
vinyl_acetate                                     ([no block])                                                                     = Vinyl Acetate
methyl_acetate                                    ([no block])                                                                     = Methyl Acetate
ethenone                                          ([no block])                                                                     = Ethenone
tetranitromethane                                 ([no block])                                                                     = Tetranitromethane
dimethylamine                                     ([no block])                                                                     = Dimethylamine
dimethylhydrazine                                 ([no block])                                                                     = 1,1-Dimethylhydrazine
dinitrogen_tetroxide                              ([no block])                                                                     = Dinitrogen Tetroxide
dimethyldichlorosilane                            ([no block])                                                                     = Dimethyldichlorosilane
styrene                                           ([no block])                                                                     = Styrene
butadiene                                         ([no block])                                                                     = Butadiene
dichlorobenzene                                   ([no block])                                                                     = Dichlorobenzene
acetic_acid                                       ([no block])                                                                     = Acetic Acid
phenol                                            ([no block])                                                                     = Phenol
bisphenol_a                                       ([no block])                                                                     = Bisphenol A
vinyl_chloride                                    ([no block])                                                                     = Vinyl Chloride
ethylene                                          ([no block])                                                                     = Ethylene
benzene                                           ([no block])                                                                     = Benzene
acetone                                           ([no block])                                                                     = Acetone
glycerol                                          ([no block])                                                                     = Glycerol
toluene                                           ([no block])                                                                     = Toluene
diphenyl_isophthalate                             ([no block])                                                                     = Diphenyl Isophthalate
phthalic_acid                                     ([no block])                                                                     = Phthalic Acid
dimethylbenzene                                   ([no block])                                                                     = Dimethylbenzene
diaminobenzidine                                  ([no block])                                                                     = 3,3-Diaminobenzidine
dichlorobenzidine                                 ([no block])                                                                     = 3,3-Dichlorobenzidine
nitrochlorobenzene                                ([no block])                                                                     = 2-Nitrochlorobenzene
chlorobenzene                                     ([no block])                                                                     = Chlorobenzene
octane                                            ([no block])                                                                     = Octane
ethyl_tertbutyl_ether                             ([no block])                                                                     = Ethyl Tert-Butyl Ether
ethylbenzene                                      ([no block])                                                                     = Ethylbenzene
naphthalene                                       ([no block])                                                                     = Naphthalene
rubber                                            ([no block])                                                                     = Liquid Rubber
cyclohexane                                       ([no block])                                                                     = Cyclohexane
nitrosyl_chloride                                 ([no block])                                                                     = Nitrosyl Chloride
butyraldehyde                                     ([no block])                                                                     = Butyraldehyde
polyvinyl_butyral                                 ([no block])                                                                     = Liquid Polyvinyl Butyral
polychlorinated_biphenyl                          ([no block])                                                                     = Polychlorinated Biphenyl (PCB)
wood_gas                                          ([no block])                                                                     = Wood Gas
wood_vinegar                                      ([no block])                                                                     = Wood Vinegar
wood_tar                                          ([no block])                                                                     = Wood Tar
charcoal_byproducts                               ([no block])                                                                     = Charcoal Byproducts
bio_diesel                                        ([no block])                                                                     = Bio Diesel
fermented_biomass                                 ([no block])                                                                     = Fermented Biomass
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
glue                                              ([no block])                                                                     = Glue
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
mc_guffium_239                                    ([no block])                                                                     = McGuffium 239
indium_concentrate                                ([no block])                                                                     = Indium Concentrate
drilling_fluid                                    ([no block])                                                                     = Drilling Fluid
construction_foam                                 ([no block])                                                                     = Construction Foam
sulfuric_heavy_fuel                               ([no block])                                                                     = Sulfuric Heavy Fuel
heavy_fuel                                        ([no block])                                                                     = Heavy Fuel
lightly_hydrocracked_heavy_fuel                   ([no block])                                                                     = Lightly Hydro-Cracked Heavy Fuel
severely_hydrocracked_heavy_fuel                  ([no block])                                                                     = Severely Hydro-Cracked Heavy Fuel
lightly_steamcracked_heavy_fuel                   ([no block])                                                                     = Lightly Steam-Cracked Heavy Fuel
severely_steamcracked_heavy_fuel                  ([no block])                                                                     = Severely Steam-Cracked Heavy Fuel
sulfuric_light_fuel                               ([no block])                                                                     = Sulfuric Light Fuel
light_fuel                                        ([no block])                                                                     = Light Fuel
lightly_hydrocracked_light_fuel                   ([no block])                                                                     = Lightly Hydro-Cracked Light Fuel
severely_hydrocracked_light_fuel                  ([no block])                                                                     = Severely Hydro-Cracked Light Fuel
lightly_steamcracked_light_fuel                   ([no block])                                                                     = Lightly Steam-Cracked Light Fuel
severely_steamcracked_light_fuel                  ([no block])                                                                     = Severely Steam-Cracked Light Fuel
